3.573909431922612807e-03,8.229791051329903625e-05,-5.552603561374967918e-04,0.000000000000000000e+00
3.631810896937100186e-03,1.303909357206435018e-03,-1.342354788382898274e-03,1.000000000000000021e-02
3.189155195623194668e-03,1.390212803489309203e-03,-2.307685367528074672e-03,2.000000000000000042e-02
2.448804678224851886e-03,8.013180324329220987e-04,-3.379017779311317519e-03,2.999999999999999889e-02
4.881005003373227805e-04,7.383623324825830262e-04,-1.458424048859756350e-03,4.000000000000000083e-02
-8.262870831305881188e-04,8.485066476419428523e-04,1.644862968096727431e-04,5.000000000000000278e-02
5.608039536803127983e-04,1.429658942716937817e-03,-1.763646784397020759e-04,5.999999999999999778e-02
1.938184446613001053e-03,7.484267776499214063e-04,-1.260849439193128781e-04,7.000000000000000666e-02
3.306394372506714103e-03,-1.124992093525521101e-03,2.935757892279207762e-04,8.000000000000000167e-02
1.842667527463070706e-03,-9.491843946000458332e-04,9.114481934947979078e-05,8.999999999999999667e-02
1.377845238029093661e-04,-3.030692248031982409e-04,-2.684442948957513255e-04,1.000000000000000056e-01
1.575946498551282016e-03,3.203039543715550637e-04,-7.306261993868229778e-04,1.100000000000000006e-01
2.385558563143628380e-03,9.594220664337727933e-04,-5.049607782634757359e-04,1.199999999999999956e-01
2.351690416209482274e-03,1.619669032558022047e-03,6.437588002666592805e-04,1.300000000000000044e-01
1.305501343615493191e-03,4.047567664781340398e-04,1.851662988537232987e-04,1.400000000000000133e-01
-7.586238998719729344e-05,-1.392971030095937687e-03,-7.785691945461850486e-04,1.499999999999999944e-01
-6.930129739114632061e-04,-7.534179174652151688e-04,1.970580512897950661e-04,1.600000000000000033e-01
-6.657683769812781840e-04,-3.342247381171213963e-04,6.322723930224102102e-04,1.700000000000000122e-01
6.625582865647313031e-04,-3.599547455230371878e-04,-2.364733791812199080e-05,1.799999999999999933e-01
2.049033433120307432e-03,4.006100974233978282e-05,-2.880814188276653478e-05,1.900000000000000022e-01
3.470396391822538548e-03,6.955148679736661895e-04,3.564721116322819077e-04,2.000000000000000111e-01
2.293607383666448462e-03,1.872714317392299007e-04,4.357078043169376183e-05,2.099999999999999922e-01
8.824240775794297848e-04,-4.973607943014636545e-05,-2.713165379643680554e-04,2.200000000000000011e-01
-4.868210998501625551e-04,1.123493088613180309e-03,-3.493212743045266688e-04,2.300000000000000100e-01
5.925224934359301938e-04,1.098813531566041751e-03,2.292010599624515112e-06,2.399999999999999911e-01
4.042452836662324689e-03,-8.561427937320157180e-05,7.698374442082140442e-04,2.500000000000000000e-01
4.186514856822786020e-03,-8.463982943356178866e-04,3.160106073133285651e-05,2.600000000000000089e-01
3.634096395694421527e-03,1.732527749287758557e-03,-2.714589100772603694e-03,2.700000000000000178e-01
4.994196668694752574e-03,1.138642678307763730e-03,-1.700602258703465611e-03,2.800000000000000266e-01
4.562296287411892436e-03,5.314009940148332412e-04,-1.107238805818212476e-03,2.899999999999999800e-01
3.901523411018164439e-04,-1.037184630204656495e-04,-1.391795749298128894e-03,2.999999999999999889e-01
1.286402247777460733e-04,3.744350879124591072e-05,-3.805154335848953077e-04,3.099999999999999978e-01
2.263832310374178525e-03,6.543641414220046932e-04,1.424943096579297207e-03,3.200000000000000067e-01
-1.739761539059927163e-04,1.157505885700550741e-04,-1.033785743777089136e-04,3.300000000000000155e-01
-2.245004202834627663e-03,-3.850106734357482217e-04,-1.608252337715768880e-03,3.400000000000000244e-01
-1.527818163632359413e-03,-3.813694433675832618e-04,-1.970942502466529588e-03,3.500000000000000333e-01
-8.106321244300950662e-04,-3.777282132994183020e-04,-2.333632667217288344e-03,3.599999999999999867e-01
-9.344608522782659951e-05,-3.740869832312533421e-04,-2.696322831968049269e-03,3.699999999999999956e-01
1.573342527417346485e-03,6.451377703439563219e-05,4.135278264005772149e-05,3.800000000000000044e-01
3.546252355607911778e-03,6.061599546514273486e-04,3.566733526784444507e-04,3.900000000000000133e-01
1.463255859720115088e-03,-1.756085029400140420e-03,-3.546102772015267014e-04,4.000000000000000222e-01
-6.437660944073768160e-04,-2.767576783445191424e-03,-4.798755020432272987e-04,4.100000000000000311e-01
-2.703384630269206699e-03,-2.995009590550995124e-04,8.982485802471601444e-04,4.199999999999999845e-01
-2.308654505095823501e-03,-5.922221652386551113e-06,1.151379309671404522e-03,4.299999999999999933e-01
-2.139547490743400233e-04,-1.218477909619800200e-03,6.252994219815428663e-04,4.400000000000000022e-01
1.218864251451427447e-03,-2.846481731451427303e-04,4.444235721107271707e-04,4.500000000000000111e-01
2.180367399009409610e-03,3.313011900860167425e-04,4.062737700872108147e-04,4.600000000000000200e-01
1.541624581945972433e-03,-1.473744833727187904e-03,7.778029156247946978e-04,4.700000000000000289e-01
1.907986894528613912e-03,-2.099952516945398796e-03,4.582140289402852548e-04,4.799999999999999822e-01
3.324195530210335113e-03,-1.494847115692883761e-03,-5.832572793485458172e-04,4.899999999999999911e-01
3.076721489589650648e-03,-8.896125678078336489e-04,-7.039329439740269791e-05,5.000000000000000000e-01
2.525809888282738985e-03,-4.003083845554853185e-04,7.383598156561629010e-04,5.100000000000000089e-01
3.148899480766955469e-03,-9.830779984817419014e-04,5.648679062910025696e-04,5.200000000000000178e-01
3.247858847193699910e-03,-8.392544426380000363e-04,4.371420258990745618e-04,5.300000000000000266e-01
2.578183964229494377e-03,3.701142161083065436e-04,3.765317888693892902e-04,5.400000000000000355e-01
8.590344656016482214e-04,-6.546610463411240387e-04,-4.317181380151362009e-04,5.500000000000000444e-01
-1.270017851881736831e-03,-2.450430433323390160e-03,-1.514650549568315749e-03,5.600000000000000533e-01
-3.306148167923231383e-03,-5.751567182535315820e-04,-1.939048328128096165e-03,5.700000000000000622e-01
-3.746621311782149903e-03,5.285220690522324846e-05,-1.822644202000871976e-03,5.799999999999999600e-01
-1.017018695786163236e-03,-1.797067050472516640e-03,-6.318344711993822017e-04,5.899999999999999689e-01
-4.771580807003490059e-04,-1.671499634950502668e-03,-2.128970778282288383e-04,5.999999999999999778e-01
-1.171724679012395862e-03,-4.322875490889483037e-04,-2.290886714322450210e-04,6.099999999999999867e-01
