3.935923748598543770e-02,0.000000000000000000e+00
6.303749106680608949e-02,1.000000000000000021e-02
8.671574464762672740e-02,2.000000000000000042e-02
1.103939982284473653e-01,2.999999999999999889e-02
1.340722518092680171e-01,4.000000000000000083e-02
1.577505053900886689e-01,5.000000000000000278e-02
1.814287589709092929e-01,5.999999999999999778e-02
2.051070125517299447e-01,7.000000000000000666e-02
2.287852661325505965e-01,8.000000000000000167e-02
2.531888645983219055e-01,8.999999999999999667e-02
2.839515660417534226e-01,1.000000000000000056e-01
2.895153554139214269e-01,1.100000000000000006e-01
1.996312654905396944e-01,1.199999999999999956e-01
1.097471755671578508e-01,1.300000000000000044e-01
1.031406078997858522e-01,1.400000000000000133e-01
1.071379821200618004e-01,1.499999999999999944e-01
1.111353563403377626e-01,1.600000000000000033e-01
1.058344737767708266e-01,1.700000000000000122e-01
9.400897313762826557e-02,1.799999999999999933e-01
8.218347249848566294e-02,1.900000000000000022e-01
7.040658890907840195e-02,2.000000000000000111e-01
5.885502723413842813e-02,2.099999999999999922e-01
4.730346555919841961e-02,2.200000000000000011e-01
3.575190388425841109e-02,2.300000000000000100e-01
3.460327110459648914e-02,2.399999999999999911e-01
3.450005830551928360e-02,2.500000000000000000e-01
3.439684550644207806e-02,2.600000000000000089e-01
5.839806978856725700e-02,2.700000000000000178e-01
1.033367248200578875e-01,2.800000000000000266e-01
1.482753798515482890e-01,2.899999999999999800e-01
1.793115396164455255e-01,2.999999999999999889e-01
1.534943684252329521e-01,3.099999999999999978e-01
1.276771972340204064e-01,3.200000000000000067e-01
1.018600260428078330e-01,3.300000000000000155e-01
1.102390890073054464e-01,3.400000000000000244e-01
1.212985759496195970e-01,3.500000000000000333e-01
1.323580628919336921e-01,3.599999999999999867e-01
1.262568004440633718e-01,3.699999999999999956e-01
1.072724765138448888e-01,3.800000000000000044e-01
8.828815258362640583e-02,3.900000000000000133e-01
7.256026309826764387e-02,4.000000000000000222e-01
7.418130986142744410e-02,4.100000000000000311e-01
7.580235662458723045e-02,4.199999999999999845e-01
7.742340338774703068e-02,4.299999999999999933e-01
1.521417306103140799e-01,4.400000000000000022e-01
2.361031001847432031e-01,4.500000000000000111e-01
3.200644697591723542e-01,4.600000000000000200e-01
3.175477555170970745e-01,4.700000000000000289e-01
2.336698826063071666e-01,4.799999999999999822e-01
1.497920096955168423e-01,4.899999999999999911e-01
7.488100095380602339e-02,5.000000000000000000e-01
7.478516023688286385e-02,5.100000000000000089e-01
7.468931951995971819e-02,5.200000000000000178e-01
7.459347880303655864e-02,5.300000000000000266e-01
8.058352188595993559e-02,5.400000000000000355e-01
8.757290430769978928e-02,5.500000000000000444e-01
9.456228672943964297e-02,5.600000000000000533e-01
1.040761871777966668e-01,5.700000000000000622e-01
1.160026040659640073e-01,5.799999999999999600e-01
1.279290209541314727e-01,5.899999999999999689e-01
1.322246403934438930e-01,5.999999999999999778e-01
1.025384974577523423e-01,6.099999999999999867e-01
7.285235452206080542e-02,6.199999999999999956e-01
4.316621158636926858e-02,6.300000000000000044e-01
6.863055940410719979e-02,6.400000000000000133e-01
9.767309221504028027e-02,6.500000000000000222e-01
1.267156250259733608e-01,6.600000000000000311e-01
1.592372806114664696e-01,6.700000000000000400e-01
1.945438497457986360e-01,6.800000000000000488e-01
2.298504188801307746e-01,6.900000000000000577e-01
2.383783734772586260e-01,7.000000000000000666e-01
1.780775522339449746e-01,7.099999999999999645e-01
1.177767309906306570e-01,7.199999999999999734e-01
5.747590974731633939e-02,7.299999999999999822e-01
4.394017784143292721e-02,7.399999999999999911e-01
6.770730514095187058e-02,7.500000000000000000e-01
9.147443244047082089e-02,7.600000000000000089e-01
1.317220550946518742e-01,7.700000000000000178e-01
1.871523926375671665e-01,7.800000000000000266e-01
2.425827301804824865e-01,7.900000000000000355e-01
2.859871831369537043e-01,8.000000000000000444e-01
